1,15596,Gi1/1,Up
2,15608,Gi0/5,Up
3,15685,Gi1/2,Up
4,15607,Gi1/0/28,Up
5,15583,Gi1/1,Up
6,15611,Gi1/1,Up
7,15603,Gi0/16,Up
8,15612,Gi1/2,Up
9,15628,Gi1/2,Up
10,15668,Gi1/1,Up
11,15614,Gi1/5,Up
12,15610,Gi1/1,Up
13,15631,Fa0/11,Up
14,15629,Gi1/2,Up
15,15630,Gi1/1,Up
16,15636,Fa0/12,Up
17,15585,Gi1/1,Up
18,15597,Gi1/1,Up
19,15638,Gi0/1,Up
20,15639,Gi1/1,Up
21,15587,Gi1/1,Up
22,15593,Gi1/1,Up
23,15648,Gi1/1,Up
24,15589,Gi1/1,Up
25,16561,Gi1/1,Up
26,15600,Gi0/11,Up
27,15609,Gi0/12,Up
28,15684,Gi1/1,Up
29,15606,Gi1/0/27,Up
30,15602,Gi0/15,Up
31,15613,Gi1/3,Up
32,15669,Gi1/2,Up
33,15615,Gi1/8,Up
34,15632,Fa0/12,Up
35,15586,Gi1/2,Up
36,15598,Gi1/2,Up
37,15637,Fa0/5,Up
38,15588,Gi1/2,Up
39,15595,Gi1/3,Up
40,15590,Gi1/2,Up
41,16562,Gi1/2,Up
42,15601,Gi0/12,Up
43,17572,Gi0/11,Up
44,15605,Gi1/0/26,Up
45,15670,Gi1/1,Up
46,17753,Gi1/7,Up
47,15633,Gi0/2,Up
48,15599,Gi1/3,Up
49,15594,Gi1/2,Up
50,15604,Gi1/0/25,Up
51,17754,Gi1/11,Up
52,15634,Gi0/1,Up
53,17759,Gi1/0/1,Unusual
54,17760,Gi1/0/6,Up
55,17761,Gi1/0/2,Up
56,17762,Gi1/0/7,Up
57,17757,Gi1/0/2,Unusual
58,17758,Gi2/0/8,Up
59,17408,Gi1/1,Up
60,18452,Gi1/2,Up
61,18599,Gi1/8,Up
62,18598,Gi1/1,Up
