"id","eui","name","device","longitude","latitude"
"1","20635F019100043D","CAN-MAP48","CompactTracker1","-70.32768","-27.5290624"
"2","20635F019100043A","CAN-MAP20","CompactTracker2","-70.3149568","-27.5251712"
"3","20635F0191000437","CAN-NEUMAP29","CompactTracker3","-70.3017728","-27.5513344"
"4","20635F0191000426","CAN-MAP28","CompactTracker4","-70.3055616","-27.5373312"
"5","20635F019100042F","CANMAP-MuroSur","CompactTracker5","-70.3069952","-27.5381248"
"6","20635F019100044E","CAN-MAP27","CompactTracker6","-70.292224","-27.4959104"
"7","20635F019100044A","CAN-RAPRW-3","CompactTracker7","-70.302071","-27.535957"
"8","20635F019100043F","CAN-RAPRW-2","CompactTracker8","-70.2926592","-27.503488"
"9","20635F019100043B","CAN-MAP23","CompactTracker10","-70.2975232","-27.5118848"
"10","20635F019100042A","FiM Carro Movil 2","CompactTracker12","-70.2894848","-27.521664"
"11","20635F019100043E","FiM Carro Movil 1","CompactTracker14","-70.2973184","-27.5117312"
"12","20635F0191000424","CAN-MAP07","CompactTracker15","-70.2998528","-27.518976"
"13","20635F0191000455","CAN-MAP30","CompactTracker35","-70.297856","-27.5172864"
"14","20635F0191000449","CANMAP-ChimenaNorte","CompactTracker17","-70.3330816","-27.52576"
"15","20635F0191000440","CAN-MAP21","CompactTracker18","-70.3036416","-27.5391232"
"16","20635F0191000428","CAN-MAPRW-36","CompactTracker32","-70.302116","-27.535992"
"17","20635F0191000473","CAN-MAP-25","CompactTracker33","-70.2893568","-27.5217152"
"18","20635F0191000429","CAN-RAPRW-1","CompactTracker36","-70.2835712","-27.5058176"
"19","20635F0191000445","CAN-MAPRW-32","CompactTracker16","-70.2833408","-27.519872"
"20","20635F0191000427","CAN-MAP-Slave","CompactTracker13","-70.301842","-27.514837"
